hand,players,won,played,prob
93o,4,9440,61227,0.15418034527251048
84o,4,9380,61493,0.15253768721643113
52s,4,3073,20248,0.15176807585934413
74o,4,9122,61347,0.14869512771610674
54o,4,8795,61463,0.14309421928639995
92o,4,8720,61151,0.14259783159719383
42s,4,2836,20435,0.13878150232444336
63o,4,8317,61229,0.13583432687125382
32s,4,2757,20487,0.1345731439449407
83o,4,8028,61010,0.13158498606785773
73o,4,7933,61496,0.12900026017952387
82o,4,7869,61019,0.12895983218341828
53o,4,7572,60902,0.12433089225312798
62o,4,6979,61255,0.11393355644437189
43o,4,6920,61297,0.11289296376657912
72o,4,6915,61285,0.1128334829077262
52o,4,6538,61200,0.10683006535947713
42o,4,5903,61050,0.09669123669123669
32o,4,5372,61169,0.08782226291095163
AAo,5,24923,38534,0.6467794674832615
KKo,5,21678,38223,0.567145435994035
QQo,5,18496,38169,0.48458172862794413
AKs,5,11560,25432,0.45454545454545453
AKo,5,33356,77624,0.42971246006389774
AQs,5,10939,25519,0.4286609976879972
JJo,5,15714,37956,0.41400569079987354
AJs,5,10488,25418,0.4126209772602093
AQo,5,31006,76497,0.4053230845654078
ATs,5,10029,25374,0.39524710333412155
KQs,5,9963,25373,0.3926614905608324
AJo,5,29536,76833,0.3844181536579334
KJs,5,9493,25596,0.3708782622284732
ATo,5,28039,76449,0.3667673874085992
KQo,5,28107,76913,0.3654388724922965
A9s,5,9234,25303,0.36493696399636405
TTo,5,13706,38368,0.3572247706422018
KTs,5,9070,25399,0.35710067325485256
A8s,5,9118,25655,0.35540830247515104
KJo,5,26113,76322,0.34214250150677394
A7s,5,8697,25578,0.3400187661271405
QJs,5,8669,25503,0.3399207936321217
A9o,5,25748,76465,0.33672922252010723
A6s,5,8243,25197,0.32714212009366195
KTo,5,24968,76822,0.32501106453880396
QTs,5,8280,25577,0.32372834968917386
A5s,5,8209,25421,0.322921993627316
K9s,5,8159,25327,0.322146326055198
A8o,5,24537,76947,0.31888182775156926
A4s,5,8081,25455,0.31746218817521116
QJo,5,23913,76163,0.31397135091842493
A7o,5,23707,77197,0.3070974260657798
JTs,5,7813,25512,0.3062480401379743
A3s,5,7737,25383,0.30481030611038884
K8s,5,7824,25777,0.3035263995034333
A2s,5,7716,25560,0.3018779342723005
99o,5,11551,38304,0.3015611946532999
Q9s,5,7663,25702,0.2981480040463777
QTo,5,22515,76009,0.2962149219171414
A6o,5,22339,76173,0.29326664303624644
K9o,5,22272,76237,0.29214161102876557
K7s,5,7362,25467,0.28907998586405936
A5o,5,21752,76115,0.28577809892925177
A4o,5,21277,76578,0.2778474235420095
J9s,5,7066,25685,0.2751021997274674
K6s,5,7058,25727,0.27434213083530923
JTo,5,20919,76321,0.27409232059328364
A3o,5,20934,76405,0.27398730449577907
Q8s,5,6893,25405,0.2713245424129108
K5s,5,6954,25649,0.2711216811571601
K8o,5,20544,76941,0.26700978671969433
88o,5,10133,38005,0.2666228127877911
K4s,5,6734,25401,0.26510767292626275
A2o,5,20127,76318,0.2637254645037868
T9s,5,6689,25370,0.263657863618447
K3s,5,6640,25658,0.2587886818925871
Q9o,5,19663,76307,0.2576827813962022
Q7s,5,6570,25514,0.25750568315434663
K7o,5,19600,76522,0.25613549044719164
J8s,5,6529,25598,0.2550589889835143
K2s,5,6512,25650,0.2538791423001949
K6o,5,18699,76418,0.24469365856211886
J9o,5,18431,76880,0.2397372528616025
Q6s,5,6101,25450,0.23972495088408644
77o,5,9106,38073,0.23917211672313712
T8s,5,6032,25404,0.2374429223744292
Q5s,5,5952,25298,0.2352755158510554
K5o,5,18084,76896,0.23517478152309612
Q8o,5,17970,76560,0.23471786833855798
T9o,5,17511,76347,0.22936068214861094
J7s,5,5785,25231,0.22928143949902896
98s,5,5827,25425,0.22918387413962635
Q4s,5,5828,25488,0.22865662272441933
K4o,5,17180,76241,0.2253380726905471
K3o,5,16990,76955,0.22077837697355598
Q3s,5,5581,25449,0.21930134779362648
T7s,5,5581,25496,0.21889708189519924
66o,5,8415,38600,0.21800518134715025
J8o,5,16458,76289,0.21573228119388116
Q2s,5,5469,25413,0.21520481643253453
K2o,5,16266,76630,0.21226673626517029
Q7o,5,16060,76386,0.2102479511952452
J6s,5,5334,25450,0.20958742632612967
97s,5,5400,25832,0.20904304738309074
87s,5,5195,25025,0.2075924075924076
J5s,5,5320,25675,0.20720545277507302
T8o,5,15682,76212,0.20576812050595708
Q6o,5,15548,76167,0.20413039767878477
J4s,5,5166,25663,0.20130148462767408
T6s,5,5108,25458,0.20064419828737529
55o,5,7610,38164,0.19940257834608532
J3s,5,5018,25526,0.19658387526443627
96s,5,5018,25668,0.19549633785257908
98o,5,14858,76267,0.19481558209972857
Q5o,5,14838,76202,0.19471929870607071
J7o,5,14729,75863,0.1941526172178796
86s,5,4999,25927,0.19281058356153816
76s,5,4908,25602,0.19170377314272322
J2s,5,4831,25723,0.1878085759825837
Q4o,5,14273,76281,0.18711081396415882
T5s,5,4730,25664,0.18430486284289277
T7o,5,14088,76512,0.1841279799247177
44o,5,7043,38507,0.18290181006050849
T4s,5,4556,25397,0.17939126668504154
95s,5,4593,25609,0.17935100941075402
Q3o,5,13752,76904,0.17882034744616665
65s,5,4533,25350,0.17881656804733728
Q2o,5,13418,76411,0.17560298909842822
97o,5,13275,76424,0.17370197843609336
75s,5,4439,25575,0.17356793743890517
85s,5,4399,25357,0.17348266750798597
33o,5,6551,38047,0.17218177517281258
87o,5,13203,76694,0.17215166766631027
T3s,5,4407,25637,0.1718999882981628
64s,5,4397,25659,0.17136287462488795
J6o,5,13060,76275,0.17122254998361194
T2s,5,4222,25113,0.16812009716083304
J5o,5,12816,76581,0.16735221530144553
T6o,5,12534,75727,0.16551560209700636
22o,5,6262,38558,0.16240468903988797
94s,5,4073,25419,0.1602344702781384
54s,5,4083,25494,0.16015533066603907
84s,5,4070,25670,0.15855083755356447
J4o,5,12100,76516,0.15813686026451984
74s,5,4001,25377,0.15766245025022657
96o,5,11972,76583,0.15632712220727837
86o,5,11737,76668,0.15308864193666197
J3o,5,11551,75940,0.15210692652093757
76o,5,11554,76501,0.1510307054809741
93s,5,3891,25798,0.15082564539886814
92s,5,3779,25398,0.14879124340499253
J2o,5,11255,76133,0.14783339681872512
63s,5,3763,25629,0.14682586132896328
T5o,5,10900,76039,0.14334749273399178
83s,5,3616,25291,0.14297576212882052
73s,5,3591,25405,0.14135012792757332
65o,5,10822,76622,0.141238808697241
53s,5,3560,25416,0.14006924771797294
T4o,5,10646,76449,0.13925623618359953
82s,5,3512,25698,0.13666433185461904
85o,5,10241,76175,0.1344404332129964
95o,5,10231,76207,0.13425275893290642
75o,5,10252,76462,0.13407967356333866
T3o,5,10079,76760,0.13130536737884316
62s,5,3374,25716,0.13120236428682533
72s,5,3258,25370,0.12841939298383917
43s,5,3195,25505,0.1252695549892178
52s,5,3183,25433,0.12515236110565015
T2o,5,9450,76113,0.12415750266051792
64o,5,9487,76426,0.12413314840499307
42s,5,3006,25382,0.11843038373650619
74o,5,8983,76102,0.1180389477280492
94o,5,8877,76431,0.11614397299525062
84o,5,8826,76425,0.11548577036310108
54o,5,8777,76126,0.11529569398103144
32s,5,2896,25524,0.11346183983701615
92o,5,8331,76212,0.10931349393796252
93o,5,8313,76094,0.10924645832785765
63o,5,8087,76684,0.1054587658442439
83o,5,7625,76747,0.09935241768407886
53o,5,7544,76308,0.09886250458667506
73o,5,7453,76567,0.09733958493868115
82o,5,7247,76431,0.09481754785361961
62o,5,6949,76343,0.09102340751607875
43o,5,6870,76725,0.0895405669599218
72o,5,6361,76291,0.0833781179955696
52o,5,6361,76947,0.082667290472663
42o,5,5880,76731,0.07663134847714743
